City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current status,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
230,taonan,45.34,122.78,42.78,18,0,14.52,clear sky,0.0,0.0
231,rio gallegos,-51.62,-69.22,51.8,71,75,10.29,broken clouds,0.0,0.0
232,port alfred,-33.59,26.89,64.0,96,100,5.99,light rain,1.25,0.0
233,villanueva de cordoba,38.32,-4.63,51.8,76,100,3.36,overcast clouds,0.0,0.0
234,te anau,-45.41,167.72,47.93,66,41,6.24,light rain,0.81,0.0
235,ouargaye,11.5,0.06,78.44,35,54,5.01,broken clouds,0.0,0.0
236,richards bay,-28.77,32.06,71.51,92,100,20.0,light rain,1.94,0.0
237,cherskiy,68.75,161.3,17.15,62,85,4.12,overcast clouds,0.0,0.0
238,ligayan,4.65,119.47,82.8,72,0,3.47,clear sky,0.0,0.0
239,salalah,17.01,54.1,84.2,42,0,9.17,clear sky,0.0,0.0
240,gbongan,7.47,4.35,72.79,97,100,0.96,overcast clouds,0.0,0.0
241,cidreira,-30.17,-50.22,69.87,77,86,17.6,light rain,0.19,0.0
242,muros,42.77,-9.06,55.0,100,75,2.24,light intensity drizzle,0.0,0.0
243,coquimbo,-29.95,-71.34,57.2,87,90,1.12,overcast clouds,0.0,0.0
244,tornio,61.12,27.27,39.99,100,90,9.17,light intensity drizzle,0.0,0.0
245,udachnyy,66.42,112.4,-20.21,75,100,4.47,overcast clouds,0.0,0.0
246,seguela,7.96,-6.67,71.19,83,33,4.59,scattered clouds,0.0,0.0
247,nicoya,10.15,-85.45,75.2,88,38,3.36,scattered clouds,0.0,0.0
248,seydi,13.34,7.75,71.6,68,89,2.24,overcast clouds,0.0,0.0
249,hatillo,18.49,-66.83,79.0,92,36,3.0,scattered clouds,0.0,0.0
250,westport,41.14,-73.36,48.99,75,75,9.86,broken clouds,0.0,0.0
251,energeticheskiy,43.43,77.02,41.0,58,75,6.71,broken clouds,0.0,0.0
252,victoria,5.28,115.24,87.8,70,75,3.36,broken clouds,0.0,0.0
253,san jeronimo,-13.65,-73.37,48.42,87,100,6.6,moderate rain,6.88,0.0
254,marzuq,14.4,46.47,74.03,40,0,4.09,clear sky,0.0,0.0
255,young,-32.7,-57.63,64.99,85,0,4.0,clear sky,0.0,0.0
256,koslan,63.46,48.9,31.62,98,100,1.19,overcast clouds,0.0,0.0
257,diplo,24.47,69.59,84.99,26,0,5.64,clear sky,0.0,0.0
258,amapa,15.09,-87.97,73.4,94,90,1.9,light rain,0.0,0.0
259,aykhal,65.95,111.51,-18.41,75,100,4.47,overcast clouds,0.0,0.0
260,nigran,42.14,-8.81,59.0,100,90,2.24,fog,0.0,0.0
261,kyren,51.68,102.13,1.13,88,100,5.48,overcast clouds,0.0,0.0
262,hami,42.84,93.51,48.33,29,69,9.48,broken clouds,0.0,0.0
263,windhoek,-22.57,17.08,71.6,30,100,4.7,overcast clouds,0.0,0.0
264,zhigalovo,54.81,105.15,6.55,68,69,7.34,broken clouds,0.0,0.0
265,the valley,18.22,-63.06,82.4,74,40,8.05,scattered clouds,0.0,0.0
